username,followers,reels,avg_views,max_views,avg_comments,max_comments,avg_likes,last_upload_days,posts_per_week,verdict,error
gomtori_pick,0,12,341,1313,3.0,12,3.6,224.0,5.6,ok,
gongo_ogami,0,12,5794,15066,62.0,205,38.7,0.5,7.6,ok,
gomtem_,,,,,,,,,,unknown,
good_use_zip,0,12,114163,885820,344.0,1654,608.8,5.0,0.2,ok,
gonggan_siyeon,,,,,,,,,,unknown,
goodbuy_jihea,0,10,391,1038,1.3,3,4.7,247.5,3.9,ok,
gothometem,0,12,2012,16329,6.1,44,8.1,2.8,3.8,ok,
goro_tem,0,12,70984,244501,380.1,2088,201.9,25.0,0.7,ok,
grinrv_,0,12,1447,2766,2.5,12,4.8,24.5,14.0,ok,
grabitnow_home_,0,12,50209,562158,279.1,2882,153.4,123.1,0.6,ok,
goods_scanner,,,,,,,,,,unknown,
groundedinneutral,0,12,621701,6374321,457.8,1470,22940.0,2.6,3.7,ok,
gtem_hm,0,12,3129,8770,56.2,182,24.6,3.0,5.2,ok,
gureum_edit,0,12,29011,253866,762.3,7379,91.1,0.3,5.6,ok,
gukmin_sallim,0,11,126830,1320576,842.7,7981,2739.7,0.4,0.3,ok,
gyeongsang._.sister,0,12,3367,6717,64.5,162,25.3,138.5,7.6,ok,
gyugyu_house7,0,12,9745,53773,73.2,333,30.2,0.4,9.3,ok,
ha_ttae,0,12,31033,211957,111.1,679,50.0,2.0,7.6,ok,
haebadda,0,12,562665,2642442,123.8,689,9891.7,4.9,0.5,ok,
habom_official,0,12,115941,948432,250.7,1140,724.2,0.0,28.0,ok,
haebbi_home_,0,12,42077,142052,319.3,1542,126.2,0.4,28.0,ok,
haedal_home,0,12,97499,179278,938.1,2232,3.0,3.0,2.8,ok,
hago.zip,0,4,912,1227,35.8,60,76.5,41.0,0.2,ok,
haencamping,0,12,229260,1069429,6653.1,40678,2032.8,2.5,0.2,ok,
haha.salrim,0,12,312188,2908030,76.7,618,1578.3,2.0,0.9,ok,
half.worker,0,12,11206,73214,459.5,3884,99.5,2.1,7.0,ok,
hamboshu_,0,12,36899,126834,35.4,195,156.1,214.0,4.7,ok,
hamzzimarket,0,12,25920,181612,1145.6,7282,253.8,8.0,2.0,ok,
hantam_house,0,12,2603,5068,48.4,146,21.2,0.1,5.6,ok,
hannah.ouse,0,12,312336,1793100,500.9,4310,5833.3,0.8,0.6,ok,
haily_furniture,,,,,,,,,,unknown,
hanyanglive,0,12,9122,26606,5.7,37,18.1,116.1,8.4,ok,
happy_chachacha60,0,12,397,1331,0.0,0,0.4,28.0,2.4,ok,
happy_home.tem,0,12,3044,4468,26.1,58,19.0,47.4,1.7,ok,
happylittleshop0,0,12,2672,10799,5.3,18,7.4,0.5,0.5,ok,
happy_home1004,0,12,1618,3481,153.4,272,75.1,44.1,1.3,ok,
harry___home,0,12,11785,129701,116.8,1269,42.0,84.7,1.3,ok,
haru._.home,0,12,14281,117708,137.7,812,93.1,18.8,1.8,ok,
harmonyhome_1st,0,12,32161,295998,375.7,2861,150.3,0.5,1.9,ok,
haru._.item,0,12,84799,610674,1924.7,22001,310.2,64.4,0.9,ok,
haru._.salim,0,12,20364,98996,70.0,227,50.6,0.1,8.4,ok,
harumama_kurashi,0,12,696687,7031166,111.1,1246,11534.5,4.0,5.2,ok,
haru_sarlim,0,1,371,371,18.0,18,33.0,266.4,,ok,
harusongsong7,0,12,4811,48599,52.4,98,43.0,157.5,0.6,ok,
hatoto_mom,0,11,5396,30720,13.2,24,34.3,0.1,7.0,ok,
haustory,0,12,3858,14901,162.2,556,47.6,1.4,4.9,ok,
haru__item,,,,,,,,,,unknown,
haus.picks,0,12,181312,973706,3690.9,29865,1713.8,0.1,1.2,ok,
